actor,movie,release,score
"主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",美丽人生,上映时间：1997-12-20(意大利),9.3
,,,
"主演：蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",海上钢琴师,上映时间：1998-10-28(意大利),9.2
,,,
"主演：基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",黑客帝国,上映时间：2000-01-14,9
,,,
"主演：Forest,理查·基尔,琼·艾伦",忠犬八公的故事,上映时间：2010-03-12(英国),9.3
,,,
"主演：松田洋治,石田百合子,田中裕子",幽灵公主,上映时间：1997-07-12(日本),8.9
,,,
"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",搏击俱乐部,上映时间：1999-10-15(美国),8.8
,,,
"主演：张国荣,梁朝伟,刘嘉玲",东邪西毒,上映时间：1994-09-17,8.8
,,,
"主演：狄龙,张国荣,周润发",英雄本色,上映时间：2017-11-17,9.2
,,,
"主演：吴念真,金燕玲,李凯莉",一一,上映时间：2000-09-20(法国),8.9
,,,
"主演：凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",完美的世界,上映时间：1993-11-24(美国),8.9
,,,
"主演：雅克·贝汉,姜文,兰斯洛特·佩林",海洋,上映时间：2011-08-12,9
,,,
"主演：俞承豪,金艺芬,童孝熙",爱·回家,上映时间：2002-04-05(韩国),9
,,,
"主演：克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",黄金三镖客,上映时间：1966-12-23(意大利),8.9
,,,
"主演：宋在浩,李顺才,尹秀晶",我爱你,上映时间：2011-02-17(韩国),9
,,,
"主演：雅克·贝汉,Philippe Labro",迁徙的鸟,上映时间：2001-12-12(法国),9.1
,,,
"主演：张国荣,张曼玉,刘德华",阿飞正传,上映时间：2018-06-25,8.8
,,,
"主演：帕特·卡洛尔,蒂姆·达利,丽娅·萨隆加",龙猫,上映时间：2018-12-14,9.2
