author,comments,name,press,price,rank
乔斯坦·贾德,104459条评论,苏菲的世界（新版）,作家出版社,¥22.80,28.
马克·吐温,61553条评论,汤姆·索亚历险记（新课标全译本，万条读者五星好评，北大著名翻,浙江工商大学出版社,¥16.10,29.
林汉达,215287条评论,上下五千年（最新版）,少年儿童出版社,¥55.60,30.
耿帅,202348条评论,所有失去的都会以另一种方式归来（随书附赠限量珍藏版明信片×精,九州出版社,¥19.90,31.
林海音,128660条评论,城南旧事（新课标，“华语文坛祖母”林海音怀念童年的自传体短篇,安徽教育出版社,¥14.40,99.
毛姆,437461条评论,月亮与六便士（新版未删节！2018当当名著销量桂冠！2017豆瓣阅读,浙江文艺出版社,¥28.60,32.
老舍,56675条评论,骆驼祥子（新课标）老舍经典小说，更适合青少年阅读的佳本,浙江工商大学出版社,¥14.70,33.
林语堂,294670条评论,苏东坡传（林语堂精装2018版）（1-9年级必读书单）,湖南文艺出版社,¥43.40,34.
曹雪芹,255268条评论,红楼梦原著版（上、下册）（全两册）（1-9年级必读书单）,人民文学出版社,¥59.70,35.
闫仲渝,15557条评论,傅雷家书（新课标经典文学名著金库名师精评版！名校班主任、语文,天地出版社,¥16.00,101.
蔡崇达,582435条评论,皮囊（畅销250万册的国民读本，韩寒监制，刘德华、李敬泽作序。繁,天津人民出版社,¥21.80,100.
陈果,131712条评论,复旦名师陈果：好的孤独（复旦名师陈果博士，用哲学的方式告诉你, 江苏凤凰文艺出版社,¥28.40,36.
刘慈欣,621571条评论,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,重庆出版社,¥55.80,37.
金波,179446条评论,乌丢丢的奇遇 曹文轩推荐儿童文学经典书系150000多名读者热评！,北京教育出版社,¥14.30,38.
刘慈欣,40012条评论,银火箭少年科幻系列 （8册。亚洲首位“雨果奖”得主刘慈欣主编，,浙江教育出版社,¥176.60,39.
冰波,47096条评论,蓝鲸的眼睛 曹文轩推荐儿童文学经典书系 15000多名读者热评！,北京教育出版社,¥12.90,102.
陈丹燕,138654条评论,我的妈妈是精灵(百万纪念版，全新修订，入选小学生基础阅读书目）,福建少年儿童出版社,¥16.60,103.
J.K.罗琳,134324条评论,哈利·波特与魔法石（《语文》教材推荐阅读书目，外国儿童文学经,人民文学出版社,¥27.40,104.
去旅行,9048条评论,去旅行系列（中国版）2018年度最值得期待的原创作品,广西科学技术出版社,¥68.30,105.
玖月晞,26852条评论,少年的你，如此美丽(金马影后周冬雨 ，TFBOYS当红小生易烊千玺主,百花洲文艺出版社,¥26.70,241.
蔡康永,49711条评论,蔡康永的情商课：为你自己活一次（印章版）,湖南文艺出版社,¥31.50,40.
孙肇志,18875条评论,过年啦-节日体验立体绘本,未来出版社,¥67.80,106.
莳田晋至,184819条评论,在教室说错了没关系,青岛出版社,¥23.90,107.
余华,177367条评论,许三观卖血记（新版）,作家出版社,¥16.00,108.
林汉达,227434条评论,林汉达中国历史故事集（珍藏版）,中国少年儿童出版社,¥38.20,109.
安徒生,77379条评论,安徒生童话（新课标，伴随一代代孩子们成长的童话故事，著名儿童,安徽教育出版社,¥13.20,242.
托马斯·马卡卡罗,7761条评论,空间简史(与《时间简史》《人类简史》《未来简史》并称“四大简史,四川文艺出版社,¥19.90,243.
大冰,449156条评论,你坏（大冰2018作品！预售10分钟8.6万册+，30分钟突破11.8万册，,湖南文艺出版社,¥21.80,244.
尼古拉斯·艾伦,208688条评论,小威向前冲,贵州人民出版社,¥25.60,245.
吴涵碧,90411条评论,吴姐姐讲历史故事(精美盒装，青少版，全15册）,新世界出版社,¥264.00,246.
安妮·默勒,161691条评论,一粒种子的旅行,南海出版公司,¥27.60,161.
曹文轩,259383条评论,曹文轩文集-草房子,天天出版社有限责任公司,¥15.10,261.
中国国家博物馆,43021条评论,中国国家博物馆儿童历史百科绘本（5册）,人民邮电出版社,¥159.20,110.
王小波,73234条评论,沉默的大多数（又名《一只特立独行的猪》）,北京联合出版公司,¥23.40,111.
戴维·伽特森,263251条评论,雪落香杉树 (福克纳奖得主，全球畅销500万册),作家出版社,¥39.00,112.
儒勒·凡尔纳,14118条评论,海底两万里 七年级下 人教版名著阅读课程化丛书 教育部统编教材推,人民教育出版社,¥37.60,113.
司汤达,18793条评论,红与黑（高晓松推荐、央视官方收藏版本）（法文直译无删节，法国,天津人民出版社,¥42.00,221.
林清玄,88833条评论,校园推荐版：林清玄散文集(青少年版)系列—林清玄散文自选集（少,河北教育出版社,¥15.60,247.
稻盛和夫,170652条评论,阿米巴经营——畅销十周年纪念版，当当全国独家（团购，请致电01,中国大百科全书出版社,¥21.00,248.
肖卫,112957条评论,为你自己读书,中国华侨,¥17.00,249.
伍绮诗,341868条评论,无声告白（就是她！征服欧美文坛的华裔作家！）,江苏文艺出版社,¥27.70,162.
斯塔夫里阿诺斯,254960条评论,全球通史:从史前史到21世纪（第7版修订版上下册，当当独家赠送全,北京大学出版社,¥66.20,163.
皮姆,111499条评论,我不敢说，我怕被骂,北京联合出版公司,¥22.60,164.
傅雷,6321条评论,傅雷家书 : 新课标本,译林出版社,¥32.10,165.
夏目漱石,92301条评论,我是猫（人类一思考，猫君就发笑。日本“国民大师”夏目漱石笔下,浙江文艺出版社,¥39.80,166.
老舍,11272条评论,骆驼祥子（“教育部统编《语文》推荐阅读丛书”）,人民文学出版社,¥20.20,262.
丰子恺,22098条评论,丰子恺愿你一生清澈明朗,现代出版社,¥39.80,263.
玛乌戈热塔·梅切尔斯卡,12667条评论,《不可思议的发明》手绘科普绘本,贵州人民出版社,¥54.00,264.
王国维,350888条评论,人间词话（近代极富盛名的词话著作，集编、校、释、评于一体，赏,北京联合出版公司,¥20.00,114.
北猫,113983条评论,米小圈上学记一年级（套装共4册）,四川少儿出版社,¥63.20,115.
曹文轩,54649条评论,青铜葵花（当当网定制版）,天天出版社有限责任公司,¥17.40,222.
克里斯多福·孟,159735条评论,亲密关系：通往灵魂的桥梁（2015全新修订版）,湖南文艺出版社,¥20.60,223.
J.K.罗琳,162912条评论,哈利·波特（套装1-7册）《语文》教材推荐阅读书目，外国儿童文学,人民文学出版社,¥285.90,224.
鲁迅,142703条评论,朝花夕拾（新课标修订版）,安徽教育出版社,¥12.10,225.
康恩·伊古尔登,113306条评论,男孩的冒险书（少儿绘图版，全三册）,广西科学技术出版社,¥125.10,250.
海明威,108184条评论,老人与海（新版！未删节插图珍藏版，《暗算》作者、茅奖得主麦家,浙江文艺出版社,¥29.90,251.
莫言,1703条评论,莫言给孩子的八堂文学课(莫言给孩子们的文学启蒙读本，当当上市次,浙江文艺出版社,¥27.00,181.
怀德,40065条评论,草原上的小木屋 曹文轩推荐儿童文学经典书系 12000多名读者热评！,北京教育出版社,¥12.90,167.
罗曼罗兰,69646条评论,名人传（“人类有史以来的30本好书”之一，经典全译本）,作家出版社,¥18.80,168.
英国快乐瓢虫出版公司,265871条评论,小猪佩奇（全10册）,安徽少年儿童出版社,¥81.50,265.
南怀瑾,13051条评论,论语别裁（独家授权简体版套装两册）,东方出版社,¥73.50,266.
丹尼尔·笛福,20060条评论,鲁滨逊漂流记（精装版）（语文新课标课外阅读书目国家教育部推荐,江苏文艺出版社,¥23.80,267.
弗雷德里克·巴克曼,274272条评论,外婆的道歉信（马思纯领读书目，人民日报、央视推荐。年度口碑爆,天津人民出版社,¥24.40,268.
芥川龙之介,89462条评论,罗生门（芥川龙之介小说集）《人间失格》作者太宰治是芥川的头号,时代文艺出版社,¥20.80,116.
北猫,182204条评论,米小圈漫画成语（套装共4册）,四川少儿出版社,¥46.80,117.
斯蒂芬·茨威格,72010条评论,一个陌生女人的来信（茨威格中短篇小说选，豆瓣9.4高评分译作，德,时代文艺出版社,¥14.50,118.
沈石溪,33461条评论,动物小说大王沈石溪·品藏书系：狼王梦（升级版）,浙江少年儿童出版社,¥15.60,281.
宫西达也,10843条评论,宫西达也精选绘本（数学绘本+超人绘本+暖心绘本！第2辑，全5册）,青岛出版社,¥58.40,226.
李诞,75354条评论,笑场（2017精装版）,湖南文艺出版社,¥36.00,227.
肯尼思·格雷厄姆,50705条评论,柳林风声（新课标经典插图本，著名儿童翻译家张炽恒全本全译）,北京联合出版公司,¥14.10,228.
徐光耀,5377条评论,小兵张嘎（“教育部统编《语文》推荐阅读丛书”）,人民文学出版社,¥23.30,252.
雨果Victor,129211条评论,巴黎圣母院 世界十大文学名著,上海文艺出版社,¥25.00,253.
林奕含,86646条评论,房思琪的初恋乐园,北京联合出版有限公司,¥31.10,254.
王小波,73149条评论,爱你就像爱生命（精装彩插典藏版）,湖南文艺出版社,¥39.80,255.
伊丽莎白·弗迪克,110714条评论,手不是用来打人的（儿童好品德系列，全5册）,贵州教育出版社,¥65.70,256.
米切尔.恩德,131964条评论,犟龟,二十一世纪出版社,¥19.80,182.
渡边淳一,87378条评论,钝感力（渡边淳一经典：具备不为小事动摇的钝感力，才能成为真正,青岛出版社,¥24.00,183.
蔡康永,6604条评论,蔡康永经典系列套装（蔡康永的说话之道1.2+蔡康永的情商课）,湖南文艺出版社,¥53.20,169.
岛田洋七,143836条评论,佐贺的超级阿嬷,南海出版公司,¥23.50,170.
路遥,123325条评论,平凡的世界：普及本,北京十月文艺出版社,¥29.90,171.
贾尼,12022条评论,罗大里经典作品--洋葱头历险记  (新课标必读),中国少年儿童出版社,¥16.20,269.
克莉司德·布提可南,3023条评论,多向思考者：高敏感人群的内心世界,北京联合出版公司,¥31.50,270.
本吉·戴维斯,70304条评论,小熊很忙系列（套装全16册）,中信出版社,¥372.70,271.
海明威,259769条评论,诺奖少年版（全套30册）2018年中童书畅销榜TOP3！日销售ZUI高达5,辽宁少年儿童出版社,¥364.30,119.
戴尔·卡耐基,397481条评论,人性的弱点（薛之谦推荐，畅销100万册）【果麦经典】,天津人民出版社,¥21.40,120.
玛格丽特·怀兹·布朗,216808条评论,信谊世界精选图画书·逃家小兔 ,明天出版社,¥29.29,282.
李宗吾,24539条评论,厚黑学全集（足本典藏版，林语堂、南怀瑾、柏杨、李敖历经沉浮，,中国友谊出版公司,¥11.60,283.
熊亮,24931条评论,一园青菜成了精（国际安徒生奖提名画家熊亮作品，中国原创绘本经,天津人民出版社,¥15.80,284.
张秋生,5839条评论,8册百篇张秋生小巴掌童话注音版一二年级课外书必读三年级课外阅读,山东科学技术出版社,¥55.80,229.
